Cluster,Pitches
0,207.9798616336267
1,190.6117597626115
2,207.91642948240096
3,201.84544268016452
4,191.0029035537449
5,224.87811210509375
6,191.0029035537449
7,219.76861156067224
8,230.57606494537967
